layer,active_mean,maxocc_mean,maxocc_p95,A4_blocks,A8_blocks,A16_blocks
0,52.0703,11.2943,24.0,66.1393,55.0703,52.6576
1,52.8594,10.8620,24.0,66.2799,55.6615,53.4375
2,52.9427,11.1042,24.0,66.3112,55.8659,53.5260
3,43.3880,17.3359,31.0,62.7721,48.8372,44.4531
4,38.6706,21.0703,32.0,61.0156,45.9193,40.2539
5,40.5469,20.0859,31.0,61.9297,47.1680,42.0794
6,40.6471,18.4089,32.0,61.8333,46.8750,41.8594
7,36.9023,22.0755,32.0,60.7305,44.4974,38.5846
8,36.9193,24.7396,32.0,60.5612,44.7591,39.0664
9,39.6133,23.2214,31.0,61.7122,46.7643,41.7122
10,43.2214,17.0990,32.0,62.7318,48.5286,44.1914
11,37.8750,18.9922,32.0,60.8424,44.7174,39.1562
12,31.9089,22.8177,32.0,58.7773,41.3529,34.4622
13,32.4414,22.1641,32.0,59.0990,41.5273,34.6276
14,27.8919,25.7344,32.0,57.3464,38.7396,30.9440
15,34.3802,21.2656,32.0,59.6445,42.5677,36.2018
16,33.8685,29.2109,32.0,59.6003,42.6654,36.1536
17,37.5625,19.4609,31.0,60.8633,44.5065,38.9049
18,40.0039,19.2266,32.0,61.5625,46.3880,41.2826
19,43.2448,22.8229,31.6,62.9440,49.0326,44.7865
20,40.4466,19.5859,30.0,61.9271,46.8177,41.7891
21,42.9102,17.2448,31.0,62.9922,48.4206,43.9023
22,41.8555,20.0339,32.0,62.6159,47.8607,43.1523
23,35.0638,21.6875,31.0,60.2904,43.5208,37.3008
24,33.3529,24.0312,32.0,59.6250,42.2279,35.3945
25,35.9023,25.3255,32.0,60.1680,43.7865,37.7083
26,33.0677,22.9036,32.0,59.3581,41.9440,35.4792
27,39.6523,19.4479,30.0,61.6745,46.3880,41.0768
28,32.5820,22.1094,32.0,59.2630,41.7539,34.6875
29,43.0755,20.9479,31.0,62.9831,48.6328,44.3828
30,39.0312,18.8385,31.0,61.3867,45.6784,40.2956
31,40.3411,18.5234,31.0,62.0000,46.8086,41.6706
32,36.3268,23.8385,32.0,60.6771,44.3333,38.5339
33,35.5026,23.2865,32.0,60.1055,43.5820,37.6107
34,35.0378,25.2109,32.0,60.2122,43.5534,37.3333
35,45.4089,17.4010,30.0,63.7695,50.0482,46.3984
36,36.7396,20.2969,31.0,60.8919,44.4961,38.4609
37,39.0820,20.2760,30.0,61.7721,46.0182,40.5977
38,35.2174,24.0911,32.0,60.2344,43.4375,37.2305
39,43.2826,17.6484,28.0,62.7943,48.3620,44.3099
40,38.8932,19.0755,29.6,61.3229,45.6484,40.2734
41,41.0104,18.2214,29.0,62.4674,47.1823,42.1510
42,39.0677,19.7422,32.0,61.6732,46.0885,40.6380
